act_fun	layers	neurons	alpha	iterations	batch_size	batch_count	std_dev	train_err	test_err	train_score	test_score		layers_structure
sigmoid	2	60	0,1	100	500	1	0,5	0,0677	0,0670	47,47%	48,00%		[(784, 50), (50, 10)]
tanh	2	60	0,1	100	500	1	0,5	0,0641	0,0622	52,46%	53,65%		[(784, 50), (50, 10)]
relu	2	60	0,1	100	500	1	0,5	0,0575	0,0556	63,15%	64,49%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	100	500	1	0,5	0,0851	0,0849	27,11%	27,38%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	100	500	1	0,5	0,0678	0,0665	47,27%	48,41%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	100	500	1	0,5	0,0735	0,0726	41,57%	42,27%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	100	500	1	0,5	0,0722	0,0718	44,48%	45,34%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	100	500	1	0,5	0,0722	0,0715	48,04%	48,49%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	100	500	1	0,5	0,0703	0,0700	51,23%	51,37%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	100	500	1	0,5	0,0844	0,0843	28,46%	28,67%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	100	500	1	0,5	0,0737	0,0709	44,81%	46,75%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	100	500	1	0,5	0,0826	0,0826	32,41%	31,99%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	100	500	1	0,5	0,0887	0,0886	19,23%	20,11%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	100	500	1	0,5	0,0761	0,0753	40,49%	41,38%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	100	500	1	0,5	0,0838	0,0829	23,16%	24,36%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	100	500	100	0,5	0,0102	0,0106	93,27%	92,84%		[(784, 50), (50, 10)]
tanh	2	60	0,1	100	500	100	0,5	0,0095	0,0112	93,74%	92,48%		[(784, 50), (50, 10)]
relu	2	60	0,1	100	500	100	0,5	0,0075	0,0085	95,03%	94,37%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	100	500	100	0,5	0,0102	0,0107	93,19%	92,75%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	100	500	100	0,5	0,0092	0,0118	94,02%	92,30%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	100	500	100	0,5	0,0086	0,0102	94,30%	93,37%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	100	500	100	0,5	0,0093	0,0099	93,87%	93,38%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	100	500	100	0,5	0,0089	0,0126	94,21%	91,74%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	100	500	100	0,5	0,0066	0,0096	95,72%	93,73%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	100	500	100	0,5	0,0105	0,0112	93,15%	92,43%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	100	500	100	0,5	0,0097	0,0142	93,81%	90,81%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	100	500	100	0,5	0,0095	0,0112	93,76%	92,48%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	100	500	100	0,5	0,0124	0,0133	91,83%	90,99%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	100	500	100	0,5	0,0124	0,0153	91,88%	89,89%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	100	500	100	0,5	0,0129	0,0137	91,46%	90,94%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	100	500	300	0,5	0,0063	0,0074	95,92%	95,05%		[(784, 50), (50, 10)]
tanh	2	60	0,1	100	500	300	0,5	0,0053	0,0085	96,58%	94,43%		[(784, 50), (50, 10)]
relu	2	60	0,1	100	500	300	0,5	0,0043	0,0066	97,22%	95,77%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	100	500	300	0,5	0,0058	0,0075	96,16%	95,06%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	100	500	300	0,5	0,0049	0,0102	97,05%	93,42%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	100	500	300	0,5	0,0042	0,0071	97,34%	95,33%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	100	500	300	0,5	0,0050	0,0070	96,78%	95,37%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	100	500	300	0,5	0,0034	0,0105	97,97%	93,36%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	100	500	300	0,5	0,0037	0,0074	97,61%	95,29%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	100	500	300	0,5	0,0054	0,0075	96,41%	95,21%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	100	500	300	0,5	0,0040	0,0116	97,58%	92,65%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	100	500	300	0,5	0,0040	0,0081	97,49%	94,75%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	100	500	300	0,5	0,0075	0,0088	95,08%	94,13%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	100	500	300	0,5	0,0065	0,0120	95,82%	92,34%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	100	500	300	0,5	0,0053	0,0078	96,56%	95,02%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	600	10	1	0,5	0,1130	0,1135	21,57%	21,48%		[(784, 50), (50, 10)]
tanh	2	60	0,1	600	10	1	0,5	0,1274	0,1284	17,68%	16,66%		[(784, 50), (50, 10)]
relu	2	60	0,1	600	10	1	0,5	0,1568	0,1580	15,18%	14,47%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	600	10	1	0,5	0,1061	0,1065	22,88%	22,52%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	600	10	1	0,5	0,1272	0,1278	17,02%	17,04%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	600	10	1	0,5	0,1601	0,1602	14,25%	14,43%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	600	10	1	0,5	0,1036	0,1042	23,52%	22,95%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	600	10	1	0,5	0,1274	0,1277	15,05%	14,98%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	600	10	1	0,5	0,1509	0,1502	22,12%	22,52%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	600	10	1	0,5	0,1099	0,1102	21,85%	21,89%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	600	10	1	0,5	0,1351	0,1361	15,53%	15,09%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	600	10	1	0,5	0,1438	0,1433	12,47%	12,20%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	600	10	1	0,5	0,1175	0,1180	20,03%	19,71%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	600	10	1	0,5	0,1233	0,1237	17,33%	16,94%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	600	10	1	0,5	0,1501	0,1511	19,17%	18,26%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	600	10	100	0,5	0,0213	0,0203	86,41%	86,98%		[(784, 50), (50, 10)]
tanh	2	60	0,1	600	10	100	0,5	0,0277	0,0264	82,91%	83,68%		[(784, 50), (50, 10)]
relu	2	60	0,1	600	10	100	0,5	0,0282	0,0272	83,54%	83,90%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	600	10	100	0,5	0,0227	0,0226	85,72%	85,59%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	600	10	100	0,5	0,0364	0,0351	78,09%	78,79%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	600	10	100	0,5	0,0328	0,0316	81,65%	82,20%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	600	10	100	0,5	0,0212	0,0202	86,52%	87,11%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	600	10	100	0,5	0,0354	0,0338	78,06%	79,20%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	600	10	100	0,5	0,0307	0,0311	83,10%	82,85%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	600	10	100	0,5	0,0240	0,0224	85,20%	86,06%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	600	10	100	0,5	0,0412	0,0407	75,22%	75,50%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	600	10	100	0,5	0,0901	0,0901	11,30%	11,45%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	600	10	100	0,5	0,0269	0,0264	83,87%	83,97%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	600	10	100	0,5	0,0446	0,0437	74,44%	74,82%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	600	10	100	0,5	0,0354	0,0347	80,68%	81,03%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	600	10	300	0,5	0,0150	0,0151	90,71%	90,66%		[(784, 50), (50, 10)]
tanh	2	60	0,1	600	10	300	0,5	0,0196	0,0188	88,25%	88,84%		[(784, 50), (50, 10)]
relu	2	60	0,1	600	10	300	0,5	0,0181	0,0177	89,67%	90,04%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	600	10	300	0,5	0,0156	0,0156	90,55%	90,50%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	600	10	300	0,5	0,0251	0,0251	85,31%	85,37%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	600	10	300	0,5	0,0184	0,0178	90,00%	90,31%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	600	10	300	0,5	0,0149	0,0148	90,97%	90,97%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	600	10	300	0,5	0,0228	0,0226	86,44%	86,62%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	600	10	300	0,5	0,0173	0,0175	90,39%	90,34%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	600	10	300	0,5	0,0169	0,0168	89,99%	90,16%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	600	10	300	0,5	0,0251	0,0250	85,55%	85,61%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	600	10	300	0,5	0,0900	0,0900	11,27%	11,37%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	600	10	300	0,5	0,0199	0,0200	88,46%	88,29%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	600	10	300	0,5	0,0274	0,0270	84,66%	84,88%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	600	10	300	0,5	0,0210	0,0213	88,61%	88,49%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	600	100	1	0,5	0,0517	0,0504	61,97%	62,60%		[(784, 50), (50, 10)]
tanh	2	60	0,1	600	100	1	0,5	0,0750	0,0739	47,88%	48,54%		[(784, 50), (50, 10)]
relu	2	60	0,1	600	100	1	0,5	0,0846	0,0835	49,43%	50,27%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	600	100	1	0,5	0,0617	0,0609	53,30%	53,96%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	600	100	1	0,5	0,0841	0,0829	40,06%	41,15%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	600	100	1	0,5	0,0984	0,0955	42,16%	44,12%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	600	100	1	0,5	0,0536	0,0518	60,61%	61,83%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	600	100	1	0,5	0,0962	0,0951	34,86%	35,34%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	600	100	1	0,5	0,1016	0,1006	41,07%	41,70%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	600	100	1	0,5	0,0578	0,0569	57,30%	58,32%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	600	100	1	0,5	0,0957	0,0954	32,65%	32,62%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	600	100	1	0,5	0,1174	0,1156	29,39%	30,29%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	600	100	1	0,5	0,0621	0,0617	53,94%	54,56%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	600	100	1	0,5	0,0939	0,0937	35,38%	35,34%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	600	100	1	0,5	0,1148	0,1135	30,56%	31,37%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	600	100	100	0,5	0,0095	0,0110	93,91%	92,91%		[(784, 50), (50, 10)]
tanh	2	60	0,1	600	100	100	0,5	0,0124	0,0133	92,38%	91,86%		[(784, 50), (50, 10)]
relu	2	60	0,1	600	100	100	0,5	0,0110	0,0125	93,67%	92,69%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	600	100	100	0,5	0,0097	0,0114	93,89%	92,97%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	600	100	100	0,5	0,0163	0,0196	90,25%	88,33%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	600	100	100	0,5	0,0146	0,0171	91,77%	90,35%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	600	100	100	0,5	0,0091	0,0103	94,40%	93,46%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	600	100	100	0,5	0,0160	0,0182	90,35%	89,05%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	600	100	100	0,5	0,0142	0,0159	92,21%	91,21%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	600	100	100	0,5	0,0104	0,0123	93,73%	92,48%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	600	100	100	0,5	0,0197	0,0228	88,52%	86,66%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	600	100	100	0,5	0,0171	0,0193	90,59%	89,34%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	600	100	100	0,5	0,0123	0,0146	92,48%	91,03%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	600	100	100	0,5	0,0215	0,0242	87,56%	85,97%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	600	100	100	0,5	0,0190	0,0211	89,70%	88,47%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	600	100	300	0,5	0,0050	0,0075	96,83%	95,24%		[(784, 50), (50, 10)]
tanh	2	60	0,1	600	100	300	0,5	0,0071	0,0110	95,76%	93,42%		[(784, 50), (50, 10)]
relu	2	60	0,1	600	100	300	0,5	0,0057	0,0083	96,77%	95,12%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	600	100	300	0,5	0,0053	0,0083	96,78%	94,89%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	600	100	300	0,5	0,0092	0,0145	94,72%	91,54%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	600	100	300	0,5	0,0077	0,0118	95,81%	93,56%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	600	100	300	0,5	0,0050	0,0076	96,98%	95,22%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	600	100	300	0,5	0,0086	0,0141	94,95%	91,69%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	600	100	300	0,5	0,0072	0,0116	96,06%	93,68%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	600	100	300	0,5	0,0058	0,0093	96,53%	94,52%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	600	100	300	0,5	0,0106	0,0169	93,97%	90,40%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	600	100	300	0,5	0,0080	0,0123	95,70%	93,33%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	600	100	300	0,5	0,0071	0,0107	95,84%	93,75%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	600	100	300	0,5	0,0111	0,0177	93,72%	89,94%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	600	100	300	0,5	0,0082	0,0134	95,57%	92,82%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	600	500	1	0,5	0,0323	0,0308	77,75%	78,45%		[(784, 50), (50, 10)]
tanh	2	60	0,1	600	500	1	0,5	0,0414	0,0398	71,37%	72,51%		[(784, 50), (50, 10)]
relu	2	60	0,1	600	500	1	0,5	0,0451	0,0427	72,70%	73,91%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	600	500	1	0,5	0,0501	0,0496	67,33%	67,38%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	600	500	1	0,5	0,0479	0,0470	66,04%	66,27%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	600	500	1	0,5	0,0548	0,0527	62,81%	64,34%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	600	500	1	0,5	0,0360	0,0348	75,83%	76,66%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	600	500	1	0,5	0,0593	0,0588	59,06%	59,18%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	600	500	1	0,5	0,0613	0,0598	64,03%	65,02%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	600	500	1	0,5	0,0473	0,0462	70,59%	72,26%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	600	500	1	0,5	0,0635	0,0628	55,00%	55,38%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	600	500	1	0,5	0,0789	0,0780	50,69%	50,93%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	600	500	1	0,5	0,0642	0,0638	56,89%	57,26%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	600	500	1	0,5	0,0639	0,0626	55,36%	56,42%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	600	500	1	0,5	0,0687	0,0671	57,52%	58,97%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	600	500	100	0,5	0,0050	0,0069	96,83%	95,40%		[(784, 50), (50, 10)]
tanh	2	60	0,1	600	500	100	0,5	0,0053	0,0094	96,75%	94,10%		[(784, 50), (50, 10)]
relu	2	60	0,1	600	500	100	0,5	0,0041	0,0076	97,56%	95,43%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	600	500	100	0,5	0,0049	0,0079	96,95%	94,77%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	600	500	100	0,5	0,0058	0,0115	96,50%	92,95%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	600	500	100	0,5	0,0050	0,0101	97,06%	94,12%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	600	500	100	0,5	0,0041	0,0069	97,40%	95,52%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	600	500	100	0,5	0,0056	0,0122	96,65%	92,75%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	600	500	100	0,5	0,0044	0,0097	97,53%	94,48%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	600	500	100	0,5	0,0041	0,0072	97,44%	95,38%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	600	500	100	0,5	0,0072	0,0154	95,70%	90,85%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	600	500	100	0,5	0,0071	0,0122	95,77%	92,77%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	600	500	100	0,5	0,0065	0,0090	95,86%	93,97%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	600	500	100	0,5	0,0071	0,0141	95,79%	91,35%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	600	500	100	0,5	0,0071	0,0113	95,54%	93,13%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	600	500	300	0,5	0,0017	0,0060	99,06%	96,18%		[(784, 50), (50, 10)]
tanh	2	60	0,1	600	500	300	0,5	0,0012	0,0081	99,33%	95,10%		[(784, 50), (50, 10)]
relu	2	60	0,1	600	500	300	0,5	0,0008	0,0068	99,60%	96,09%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	600	500	300	0,5	0,0013	0,0065	99,30%	96,06%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	600	500	300	0,5	0,0013	0,0114	99,23%	93,27%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	600	500	300	0,5	0,0009	0,0091	99,52%	95,08%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	600	500	300	0,5	0,0008	0,0056	99,59%	96,48%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	600	500	300	0,5	0,0010	0,0104	99,42%	93,78%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	600	500	300	0,5	0,0008	0,0085	99,56%	95,31%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	600	500	300	0,5	0,0010	0,0064	99,47%	96,07%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	600	500	300	0,5	0,0012	0,0140	99,31%	92,02%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	600	500	300	0,5	0,0008	0,0097	99,56%	94,81%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	600	500	300	0,5	0,0026	0,0080	98,47%	94,92%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	600	500	300	0,5	0,0023	0,0137	98,67%	92,06%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	600	500	300	0,5	0,0043	0,0104	97,24%	93,70%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,5	1	10	1	0,5	0,1118	0,1116	15,50%	15,34%		[(784, 50), (50, 10)]
tanh	2	60	0,5	1	10	1	0,5	0,1223	0,1223	15,98%	15,62%		[(784, 50), (50, 10)]
relu	2	60	0,5	1	10	1	0,5	0,1582	0,1574	18,97%	19,32%		[(784, 50), (50, 10)]
sigmoid	3	80	0,5	1	10	1	0,5	0,1009	0,1011	11,79%	11,82%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,5	1	10	1	0,5	0,1036	0,1040	18,41%	17,58%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,5	1	10	1	0,5	0,1532	0,1535	12,76%	12,53%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,5	1	10	1	0,5	0,1225	0,1218	12,94%	13,41%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,5	1	10	1	0,5	0,1398	0,1393	13,04%	13,27%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,5	1	10	1	0,5	0,1673	0,1671	15,90%	15,92%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,5	1	10	1	0,5	0,1105	0,1108	11,24%	11,36%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,5	1	10	1	0,5	0,1222	0,1222	14,80%	14,91%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,5	1	10	1	0,5	0,1775	0,1773	11,24%	11,35%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,5	1	10	1	0,5	0,0971	0,0971	9,87%	9,80%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,5	1	10	1	0,5	0,1293	0,1306	13,95%	13,68%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,5	1	10	1	0,5	0,1803	0,1804	9,87%	9,80%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,5	1	10	100	0,5	0,0418	0,0412	69,06%	69,34%		[(784, 50), (50, 10)]
tanh	2	60	0,5	1	10	100	0,5	0,0500	0,0479	66,95%	68,53%		[(784, 50), (50, 10)]
relu	2	60	0,5	1	10	100	0,5	0,0554	0,0543	58,76%	58,73%		[(784, 50), (50, 10)]
sigmoid	3	80	0,5	1	10	100	0,5	0,0693	0,0688	46,36%	47,08%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,5	1	10	100	0,5	0,0566	0,0567	58,70%	58,61%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,5	1	10	100	0,5	0,0903	0,0903	9,92%	10,10%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,5	1	10	100	0,5	0,0521	0,0515	62,00%	62,67%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,5	1	10	100	0,5	0,0720	0,0720	52,19%	52,08%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,5	1	10	100	0,5	0,0901	0,0900	10,13%	10,33%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,5	1	10	100	0,5	0,0743	0,0736	37,53%	37,72%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,5	1	10	100	0,5	0,0756	0,0757	46,06%	46,13%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,5	1	10	100	0,5	0,0902	0,0901	9,92%	10,09%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,5	1	10	100	0,5	0,0999	0,0999	19,58%	19,91%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,5	1	10	100	0,5	0,0873	0,0871	37,74%	37,39%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,5	1	10	100	0,5	0,0902	0,0901	9,92%	10,09%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,5	1	10	300	0,5	0,0277	0,0266	80,73%	81,43%		[(784, 50), (50, 10)]
tanh	2	60	0,5	1	10	300	0,5	0,0340	0,0329	76,77%	77,07%		[(784, 50), (50, 10)]
relu	2	60	0,5	1	10	300	0,5	0,0351	0,0335	75,39%	76,58%		[(784, 50), (50, 10)]
sigmoid	3	80	0,5	1	10	300	0,5	0,0316	0,0311	78,54%	78,97%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,5	1	10	300	0,5	0,0367	0,0364	73,87%	74,01%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,5	1	10	300	0,5	0,0904	0,0903	9,93%	10,32%		[(784, 50), (50, 20), (20, 10)]
